"ref","adv","loc","covid","goaltime","cens","ref_pos","ref_pts","ref_gd","ref_gf","ref_ga","adv_pos","adv_pts","adv_gd","adv_gf","adv_ga","ref_ability","adv_ability"
"Crystal Palace","Watford","Away","Pre",90,0,12,49,-2,51,53,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Man United","Man City","Away","Pre",23,1,6,66,11,65,54,1,98,72,95,23,"Top 6","Top 6"
"Southampton","Newcastle","Away","Pre",52,1,16,39,-20,45,65,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Wolves","Brighton","Away","Pre",28,1,7,57,1,47,46,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Arsenal","West Ham","Away","Pre",60,1,5,70,22,73,51,10,52,-3,52,55,"Top 6","Not Top 6"
"Watford","Liverpool","Away","Pre",90,0,11,50,-7,52,59,2,97,67,89,22,"Not Top 6","Top 6"
"Newcastle","Burnley","Away","Pre",90,0,13,45,-6,42,48,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Bournemouth","Chelsea","Away","Pre",84,1,14,45,-14,56,70,3,72,24,63,39,"Not Top 6","Top 6"
"West Ham","Southampton","Away","Pre",37,1,10,52,-3,52,55,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Everton","Man United","Away","Pre",36,1,8,54,8,54,46,6,66,11,65,54,"Not Top 6","Top 6"
"Tottenham","Wolves","Away","Pre",8,1,4,71,28,67,39,7,57,1,47,46,"Top 6","Not Top 6"
"Man City","Arsenal","Away","Pre",2,1,1,98,72,95,23,5,70,22,73,51,"Top 6","Top 6"
"Brighton","Crystal Palace","Away","Pre",54,1,17,36,-25,35,60,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Arsenal","Everton","Away","Pre",90,0,5,70,22,73,51,8,54,8,54,46,"Top 6","Not Top 6"
"Burnley","Bournemouth","Away","Pre",89,1,15,40,-23,45,68,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Crystal Palace","Newcastle","Away","Pre",90,0,12,49,-2,51,53,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Leicester","Man City","Away","Pre",22,1,9,52,3,51,48,1,98,72,95,23,"Not Top 6","Top 6"
"Man United","Watford","Away","Pre",90,0,6,66,11,65,54,11,50,-7,52,59,"Top 6","Not Top 6"
"Chelsea","Tottenham","Away","Pre",12,1,3,72,24,63,39,4,71,28,67,39,"Top 6","Top 6"
"Brighton","Tottenham","Away","Pre",37,1,17,36,-25,35,60,4,71,28,67,39,"Not Top 6","Top 6"
"Arsenal","Bournemouth","Away","Pre",63,1,5,70,22,73,51,14,45,-14,56,70,"Top 6","Not Top 6"
"Southampton","Chelsea","Away","Pre",31,1,16,39,-20,45,65,3,72,24,63,39,"Not Top 6","Top 6"
"West Ham","Crystal Palace","Away","Pre",57,1,10,52,-3,52,55,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Burnley","Everton","Away","Pre",90,0,15,40,-23,45,68,8,54,8,54,46,"Not Top 6","Not Top 6"
"Newcastle","Man United","Away","Pre",17,1,13,45,-6,42,48,6,66,11,65,54,"Not Top 6","Top 6"
"Liverpool","Leicester","Away","Pre",31,1,2,97,67,89,22,9,52,3,51,48,"Top 6","Not Top 6"
"Man City","Wolves","Away","Pre",25,1,1,98,72,95,23,7,57,1,47,46,"Top 6","Not Top 6"
"Bournemouth","Brighton","Away","Pre",90,0,14,45,-14,56,70,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Everton","Newcastle","Away","Pre",13,1,8,54,8,54,46,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Crystal Palace","Southampton","Away","Pre",50,1,12,49,-2,51,53,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Leicester","West Ham","Away","Pre",40,1,9,52,3,51,48,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Man United","Burnley","Away","Pre",44,1,6,66,11,65,54,15,40,-23,45,68,"Top 6","Not Top 6"
"Chelsea","Arsenal","Away","Pre",83,1,3,72,24,63,39,5,70,22,73,51,"Top 6","Top 6"
"Wolves","Liverpool","Away","Pre",90,0,7,57,1,47,46,2,97,67,89,22,"Not Top 6","Top 6"
"Chelsea","Brighton","Away","Pre",10,1,3,72,24,63,39,17,36,-25,35,60,"Top 6","Not Top 6"
"Leicester","Newcastle","Away","Pre",36,1,9,52,3,51,48,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Tottenham","Southampton","Away","Pre",90,0,4,71,28,67,39,16,39,-20,45,65,"Top 6","Not Top 6"
"Wolves","Watford","Away","Pre",60,1,7,57,1,47,46,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Everton","Man City","Away","Pre",71,1,8,54,8,54,46,1,98,72,95,23,"Not Top 6","Top 6"
"Bournemouth","West Ham","Away","Pre",90,0,14,45,-14,56,70,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Man United","Arsenal","Away","Pre",90,0,6,66,11,65,54,5,70,22,73,51,"Top 6","Top 6"
"Arsenal","Crystal Palace","Away","Pre",12,1,5,70,22,73,51,12,49,-2,51,53,"Top 6","Not Top 6"
"Burnley","Chelsea","Away","Pre",90,0,15,40,-23,45,68,3,72,24,63,39,"Not Top 6","Top 6"
"Brighton","Everton","Away","Pre",90,0,17,36,-25,35,60,8,54,8,54,46,"Not Top 6","Not Top 6"
"Southampton","Leicester","Away","Pre",19,1,16,39,-20,45,65,9,52,3,51,48,"Not Top 6","Not Top 6"
"Newcastle","Wolves","Away","Pre",7,1,13,45,-6,42,48,7,57,1,47,46,"Not Top 6","Not Top 6"
"Liverpool","Tottenham","Away","Pre",37,1,2,97,67,89,22,4,71,28,67,39,"Top 6","Top 6"
"Watford","Bournemouth","Away","Pre",42,1,11,50,-7,52,59,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Tottenham","Watford","Away","Pre",90,0,4,71,28,67,39,11,50,-7,52,59,"Top 6","Not Top 6"
"Crystal Palace","Man City","Away","Pre",39,1,12,49,-2,51,53,1,98,72,95,23,"Not Top 6","Top 6"
"Wolves","Southampton","Away","Pre",53,1,7,57,1,47,46,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Everton","West Ham","Away","Pre",44,1,8,54,8,54,46,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Chelsea","Newcastle","Away","Pre",90,0,3,72,24,63,39,13,45,-6,42,48,"Top 6","Not Top 6"
"Leicester","Burnley","Away","Pre",33,1,9,52,3,51,48,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Man United","Liverpool","Away","Pre",90,0,6,66,11,65,54,2,97,67,89,22,"Top 6","Top 6"
"Brighton","Bournemouth","Away","Pre",81,1,17,36,-25,35,60,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Southampton","Crystal Palace","Away","Pre",22,1,16,39,-20,45,65,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Newcastle","Everton","Away","Pre",90,1,13,45,-6,42,48,8,54,8,54,46,"Not Top 6","Not Top 6"
"Arsenal","Chelsea","Away","Pre",63,1,5,70,22,73,51,3,72,24,63,39,"Top 6","Top 6"
"West Ham","Leicester","Away","Pre",50,1,10,52,-3,52,55,9,52,3,51,48,"Not Top 6","Not Top 6"
"Burnley","Man United","Away","Pre",39,1,15,40,-23,45,68,6,66,11,65,54,"Not Top 6","Top 6"
"Liverpool","Wolves","Away","Pre",8,1,2,97,67,89,22,7,57,1,47,46,"Top 6","Not Top 6"
"Liverpool","West Ham","Away","Pre",35,1,2,97,67,89,22,10,52,-3,52,55,"Top 6","Not Top 6"
"Chelsea","Leicester","Away","Pre",46,1,3,72,24,63,39,9,52,3,51,48,"Top 6","Not Top 6"
"Southampton","Liverpool","Away","Pre",90,0,16,39,-20,45,65,2,97,67,89,22,"Not Top 6","Top 6"
"Everton","Watford","Away","Pre",45,1,8,54,8,54,46,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Brighton","West Ham","Away","Pre",47,1,17,36,-25,35,60,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Wolves","Man United","Away","Pre",90,0,7,57,1,47,46,6,66,11,65,54,"Not Top 6","Top 6"
"Arsenal","Burnley","Away","Pre",90,0,5,70,22,73,51,15,40,-23,45,68,"Top 6","Not Top 6"
"Man City","Tottenham","Away","Pre",90,0,1,98,72,95,23,4,71,28,67,39,"Top 6","Top 6"
"Crystal Palace","Everton","Away","Pre",51,1,12,49,-2,51,53,8,54,8,54,46,"Not Top 6","Not Top 6"
"Watford","Brighton","Away","Pre",19,1,11,50,-7,52,59,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Leicester","Wolves","Away","Pre",90,0,9,52,3,51,48,7,57,1,47,46,"Not Top 6","Not Top 6"
"Burnley","Southampton","Away","Pre",2,1,15,40,-23,45,68,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Newcastle","Arsenal","Away","Pre",90,0,13,45,-6,42,48,5,70,22,73,51,"Not Top 6","Top 6"
"Man United","Chelsea","Away","Pre",45,1,6,66,11,65,54,3,72,24,63,39,"Top 6","Top 6"
"West Ham","Man City","Away","Pre",90,0,10,52,-3,52,55,1,98,72,95,23,"Not Top 6","Top 6"
"Tottenham","Chelsea","Away","Pre",89,1,4,71,28,67,39,3,72,24,63,39,"Top 6","Top 6"
"Bournemouth","Burnley","Away","Pre",90,0,14,45,-14,56,70,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Newcastle","Crystal Palace","Away","Pre",90,0,13,45,-6,42,48,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Man City","Leicester","Away","Pre",80,1,1,98,72,95,23,9,52,3,51,48,"Top 6","Not Top 6"
"Watford","Man United","Away","Pre",90,0,11,50,-7,52,59,6,66,11,65,54,"Not Top 6","Top 6"
"Everton","Arsenal","Away","Pre",1,1,8,54,8,54,46,5,70,22,73,51,"Not Top 6","Top 6"
"West Ham","Liverpool","Away","Pre",12,1,10,52,-3,52,55,2,97,67,89,22,"Not Top 6","Top 6"
"Crystal Palace","Brighton","Away","Pre",70,1,12,49,-2,51,53,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Chelsea","Bournemouth","Away","Pre",33,1,3,72,24,63,39,14,45,-14,56,70,"Top 6","Not Top 6"
"Burnley","Newcastle","Away","Pre",90,0,15,40,-23,45,68,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Southampton","West Ham","Away","Pre",31,1,16,39,-20,45,65,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Liverpool","Watford","Away","Pre",90,0,2,97,67,89,22,11,50,-7,52,59,"Top 6","Not Top 6"
"Man United","Everton","Away","Pre",31,1,6,66,11,65,54,8,54,8,54,46,"Top 6","Not Top 6"
"Wolves","Tottenham","Away","Pre",27,1,7,57,1,47,46,4,71,28,67,39,"Not Top 6","Top 6"
"Bournemouth","Liverpool","Away","Pre",9,1,14,45,-14,56,70,2,97,67,89,22,"Not Top 6","Top 6"
"West Ham","Arsenal","Away","Pre",90,0,10,52,-3,52,55,5,70,22,73,51,"Not Top 6","Top 6"
"Watford","Crystal Palace","Away","Pre",90,0,11,50,-7,52,59,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Newcastle","Southampton","Away","Pre",79,1,13,45,-6,42,48,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Brighton","Wolves","Away","Pre",90,0,17,36,-25,35,60,7,57,1,47,46,"Not Top 6","Not Top 6"
"Tottenham","Burnley","Away","Pre",50,1,4,71,28,67,39,15,40,-23,45,68,"Top 6","Not Top 6"
"Everton","Chelsea","Away","Pre",90,0,8,54,8,54,46,3,72,24,63,39,"Not Top 6","Top 6"
"Man City","Man United","Away","Pre",90,0,1,98,72,95,23,6,66,11,65,54,"Top 6","Top 6"
"Arsenal","Man City","Away","Post",90,0,5,70,22,73,51,1,98,72,95,23,"Top 6","Top 6"
"Man United","Tottenham","Away","Post",81,1,6,66,11,65,54,4,71,28,67,39,"Top 6","Top 6"
"Leicester","Watford","Away","Post",90,1,9,52,3,51,48,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Arsenal","Brighton","Away","Post",68,1,5,70,22,73,51,17,36,-25,35,60,"Top 6","Not Top 6"
"Wolves","West Ham","Away","Post",73,1,7,57,1,47,46,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Crystal Palace","Bournemouth","Away","Post",12,1,12,49,-2,51,53,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Liverpool","Everton","Away","Post",90,0,2,97,67,89,22,8,54,8,54,46,"Top 6","Not Top 6"
"Burnley","Man City","Away","Post",90,0,15,40,-23,45,68,1,98,72,95,23,"Not Top 6","Top 6"
"Brighton","Leicester","Away","Post",90,0,17,36,-25,35,60,9,52,3,51,48,"Not Top 6","Not Top 6"
"West Ham","Tottenham","Away","Post",90,0,10,52,-3,52,55,4,71,28,67,39,"Not Top 6","Top 6"
"Bournemouth","Wolves","Away","Post",90,0,14,45,-14,56,70,7,57,1,47,46,"Not Top 6","Not Top 6"
"Crystal Palace","Liverpool","Away","Post",90,0,12,49,-2,51,53,2,97,67,89,22,"Not Top 6","Top 6"
"Watford","Burnley","Away","Post",90,0,11,50,-7,52,59,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Arsenal","Southampton","Away","Post",20,1,5,70,22,73,51,16,39,-20,45,65,"Top 6","Not Top 6"
"Man City","Chelsea","Away","Post",55,1,1,98,72,95,23,3,72,24,63,39,"Top 6","Top 6"
"Southampton","Watford","Away","Post",16,1,16,39,-20,45,65,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Burnley","Crystal Palace","Away","Post",62,1,15,40,-23,45,68,12,49,-2,51,53,"Not Top 6","Not Top 6"
"Man United","Brighton","Away","Post",16,1,6,66,11,65,54,17,36,-25,35,60,"Top 6","Not Top 6"
"Newcastle","Bournemouth","Away","Post",5,1,13,45,-6,42,48,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Leicester","Everton","Away","Post",51,1,9,52,3,51,48,8,54,8,54,46,"Not Top 6","Not Top 6"
"Chelsea","West Ham","Away","Post",42,1,3,72,24,63,39,10,52,-3,52,55,"Top 6","Not Top 6"
"Liverpool","Man City","Away","Post",90,0,2,97,67,89,22,1,98,72,95,23,"Top 6","Top 6"
"Crystal Palace","Leicester","Away","Post",90,0,12,49,-2,51,53,9,52,3,51,48,"Not Top 6","Not Top 6"
"Bournemouth","Man United","Away","Post",15,1,14,45,-14,56,70,6,66,11,65,54,"Not Top 6","Top 6"
"Arsenal","Wolves","Away","Post",43,1,5,70,22,73,51,7,57,1,47,46,"Top 6","Not Top 6"
"Watford","Chelsea","Away","Post",90,0,11,50,-7,52,59,3,72,24,63,39,"Not Top 6","Top 6"
"West Ham","Newcastle","Away","Post",4,1,10,52,-3,52,55,13,45,-6,42,48,"Not Top 6","Not Top 6"
"Man City","Southampton","Away","Post",90,0,1,98,72,95,23,16,39,-20,45,65,"Top 6","Not Top 6"
"Everton","Tottenham","Away","Post",90,0,8,54,8,54,46,4,71,28,67,39,"Not Top 6","Top 6"
"Chelsea","Crystal Palace","Away","Post",6,1,3,72,24,63,39,12,49,-2,51,53,"Top 6","Not Top 6"
"Leicester","Arsenal","Away","Post",84,1,9,52,3,51,48,5,70,22,73,51,"Not Top 6","Top 6"
"Newcastle","Man City","Away","Post",90,0,13,45,-6,42,48,1,98,72,95,23,"Not Top 6","Top 6"
"Burnley","West Ham","Away","Post",38,1,15,40,-23,45,68,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Liverpool","Brighton","Away","Post",6,1,2,97,67,89,22,17,36,-25,35,60,"Top 6","Not Top 6"
"Tottenham","Bournemouth","Away","Post",90,0,4,71,28,67,39,14,45,-14,56,70,"Top 6","Not Top 6"
"Southampton","Everton","Away","Post",31,1,16,39,-20,45,65,8,54,8,54,46,"Not Top 6","Not Top 6"
"Newcastle","Watford","Away","Post",23,1,13,45,-6,42,48,11,50,-7,52,59,"Not Top 6","Not Top 6"
"Burnley","Liverpool","Away","Post",69,1,15,40,-23,45,68,2,97,67,89,22,"Not Top 6","Top 6"
"Man City","Brighton","Away","Post",21,1,1,98,72,95,23,17,36,-25,35,60,"Top 6","Not Top 6"
"Everton","Wolves","Away","Post",90,0,8,54,8,54,46,7,57,1,47,46,"Not Top 6","Not Top 6"
"Arsenal","Tottenham","Away","Post",16,1,5,70,22,73,51,4,71,28,67,39,"Top 6","Top 6"
"Leicester","Bournemouth","Away","Post",23,1,9,52,3,51,48,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Southampton","Man United","Away","Post",12,1,16,39,-20,45,65,6,66,11,65,54,"Not Top 6","Top 6"
"Wolves","Burnley","Away","Post",76,1,7,57,1,47,46,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Bournemouth","Man City","Away","Post",88,1,14,45,-14,56,70,1,98,72,95,23,"Not Top 6","Top 6"
"Tottenham","Newcastle","Away","Post",27,1,4,71,28,67,39,13,45,-6,42,48,"Top 6","Not Top 6"
"Liverpool","Arsenal","Away","Post",20,1,2,97,67,89,22,5,70,22,73,51,"Top 6","Top 6"
"Man United","Crystal Palace","Away","Post",45,1,6,66,11,65,54,12,49,-2,51,53,"Top 6","Not Top 6"
"Brighton","Southampton","Away","Post",17,1,17,36,-25,35,60,16,39,-20,45,65,"Not Top 6","Not Top 6"
"Watford","West Ham","Away","Post",49,1,11,50,-7,52,59,10,52,-3,52,55,"Not Top 6","Not Top 6"
"Southampton","Bournemouth","Away","Post",41,1,16,39,-20,45,65,14,45,-14,56,70,"Not Top 6","Not Top 6"
"Leicester","Tottenham","Away","Post",90,0,9,52,3,51,48,4,71,28,67,39,"Not Top 6","Top 6"
"Newcastle","Brighton","Away","Post",90,0,13,45,-6,42,48,17,36,-25,35,60,"Not Top 6","Not Top 6"
"Crystal Palace","Wolves","Away","Post",90,0,12,49,-2,51,53,7,57,1,47,46,"Not Top 6","Not Top 6"
"Man City","Watford","Away","Post",31,1,1,98,72,95,23,11,50,-7,52,59,"Top 6","Not Top 6"
"West Ham","Man United","Away","Post",45,1,10,52,-3,52,55,6,66,11,65,54,"Not Top 6","Top 6"
"Chelsea","Liverpool","Away","Post",45,1,3,72,24,63,39,2,97,67,89,22,"Top 6","Top 6"
"Watford","Arsenal","Away","Post",43,1,11,50,-7,52,59,5,70,22,73,51,"Not Top 6","Top 6"
"Brighton","Burnley","Away","Post",20,1,17,36,-25,35,60,15,40,-23,45,68,"Not Top 6","Not Top 6"
"Wolves","Chelsea","Away","Post",90,0,7,57,1,47,46,3,72,24,63,39,"Not Top 6","Top 6"
"Tottenham","Crystal Palace","Away","Post",13,1,4,71,28,67,39,12,49,-2,51,53,"Top 6","Not Top 6"
"Bournemouth","Everton","Away","Post",13,1,14,45,-14,56,70,8,54,8,54,46,"Not Top 6","Not Top 6"
"Man United","Leicester","Away","Post",71,1,6,66,11,65,54,9,52,3,51,48,"Top 6","Not Top 6"
"Liverpool","Newcastle","Away","Post",38,1,2,97,67,89,22,13,45,-6,42,48,"Top 6","Not Top 6"
